strain_pattern,eta,energy_ev
e1,-0.02,-245.06456345
e1,-0.016,-245.08576483
e1,-0.012,-245.10166585
e1,-0.008,-245.11226652
e1,-0.004,-245.11756683
e1,0.0,-245.11756708
e1,0.004,-245.11756683
e1,0.008,-245.11226652
e1,0.012,-245.10166585
e1,0.016,-245.08576483
e1,0.02,-245.06456345
e2,-0.02,-245.08520264
e2,-0.016,-245.09813299
e2,-0.012,-245.10788075
e2,-0.008,-245.11434592
e2,-0.004,-245.1175285
e2,0.0,-245.11756708
e2,0.004,-245.1175285
e2,0.008,-245.11434592
e2,0.012,-245.10788075
e2,0.016,-245.09813299
e2,0.02,-245.08520264
e3,-0.02,-245.07954932
e3,-0.016,-245.09451571
e3,-0.012,-245.1058406
e3,-0.008,-245.11352399
e3,-0.004,-245.11736587
e3,0.0,-245.11756708
e3,0.004,-245.11736587
e3,0.008,-245.11352399
e3,0.012,-245.1058406
e3,0.016,-245.09451571
e3,0.02,-245.07954932
e4,-0.02,-245.10685958
e4,-0.016,-245.11199328
e4,-0.012,-245.11543181
e4,-0.008,-245.11742468
e4,-0.004,-245.11820601
e4,0.0,-245.11756708
e4,0.004,-245.11820601
e4,0.008,-245.11742468
e4,0.012,-245.11543181
e4,0.016,-245.11199328
e4,0.02,-245.10685958
e5,-0.02,-245.10442657
e5,-0.016,-245.11043715
e5,-0.012,-245.11455653
e5,-0.008,-245.11703567
e5,-0.004,-245.11810874
e5,0.0,-245.11756708
e5,0.004,-245.11810874
e5,0.008,-245.11703567
e5,0.012,-245.11455653
e5,0.016,-245.11043715
e5,0.02,-245.10442657
e6,-0.02,-245.10491317
e6,-0.016,-245.11074858
e6,-0.012,-245.11473167
e6,-0.008,-245.11711369
e6,-0.004,-245.11812819
e6,0.0,-245.11756708
e6,0.004,-245.11812819
e6,0.008,-245.11711369
e6,0.012,-245.11473167
e6,0.016,-245.11074858
e6,0.02,-245.10491317
e1_e2,-0.02,-245.02116035
e1_e2,-0.016,-245.05798674
e1_e2,-0.012,-245.08573967
e1_e2,-0.008,-245.10441913
e1_e2,-0.004,-245.11392512
e1_e2,0.0,-245.11756708
e1_e2,0.004,-245.11392512
e1_e2,0.008,-245.10441913
e1_e2,0.012,-245.08573967
e1_e2,0.016,-245.05798674
e1_e2,0.02,-245.02116035
e1_e3,-0.02,-245.01511005
e1_e3,-0.016,-245.05411458
e1_e3,-0.012,-245.08355416
e1_e3,-0.008,-245.10344879
e1_e3,-0.004,-245.11379846
e1_e3,0.0,-245.11756708
e1_e3,0.004,-245.11379846
e1_e3,0.008,-245.10344879
e1_e3,0.012,-245.08355416
e1_e3,0.016,-245.05411458
e1_e3,0.02,-245.01511005
e2_e3,-0.02,-245.04705021
e2_e3,-0.016,-245.07455532
e2_e3,-0.012,-245.09505234
e2_e3,-0.008,-245.10854128
e2_e3,-0.004,-245.11502213
e2_e3,0.0,-245.11756708
e2_e3,0.004,-245.11502213
e2_e3,0.008,-245.10854128
e2_e3,0.012,-245.09505234
e2_e3,0.016,-245.07455532
e2_e3,0.02,-245.04705021
